the_geom,cartodb_id,the_geom_webmercator,record_id,station_key,station_id,name,road_name,full_name,common_road_name,secondary_name,road_name_base,road_name_type,intersection,distance_to_intersection,road_number,link_number,mab_way_type,mab_way_number,mab_identifier,road_functional_hierarchy,road_on_type,lane_count,road_classification_type,road_classification_admin,rms_region,lga,suburb,post_code,device_type,heavy_vehicle_checking_station,permanent_station,vehicle_classifier,lambert_easting,lambert_northing,wgs84_latitude,wgs84_longitude,direction_seq,quality_rating,publish,md5,updated_on
,6286,,,57852,93172,Mitchell Highway,Mitchell Highway,"Mitchell Highway, South of Shades Creek Road",Mitchell Highway,South of Shades Creek Road,Mitchell,Highway,Shades Creek Road,740,0000007,0405,A,32,A32,Primary Road,OnGround,TwoOrMoreLanes,Highway,State,Western,Cabonne,Molong,2866,Trafficorder Dual Tube Classifier,false,0,0,9473644,4521437,-33.042568,148.860825,9,5,true,ccff20d19668f144df7b941448a4a433,2018-06-12 02:48:41.978017+00
,6287,,,56319,07406,Picton Road,Picton Road,"Picton Road, East of Janderra Lane",Picton Road,East of Janderra Lane,Picton,Road,Janderra Lane,250,0000095,0105,B,88,B88,Arterial Road,OnGround,TwoOrMoreLanes,Road,State,Southern,Wollondilly,Wilton,2571,Trafficorder Loop Counter,false,1,0,9637984,4385202,-34.232304,150.672165,10,4,true,2f305f54a2491b4059f9f5fb94e42e66,2018-06-12 02:48:41.978017+00
,6288,,,58381,95671,Wagga Road,Wagga Road,"Wagga Road, South of Waldner Court",Wagga Road,South of Waldner Court,Wagga,Road,Waldner Court,110,0000688,0030,NULL,NULL,NULL,Arterial Road,OnGround,TwoOrMoreLanes,Road,Regional,South West,Albury,Lavington,2641,Trafficorder Tube Axlepair Counter,false,0,0,9296132,4190593.75,-36.040642,146.957092,9,5,true,0bc7cd4adf7d56ddc29206d322b68a60,2018-06-12 02:48:41.978017+00
,6289,,,58735,99239,Great Western Highway,Great Western Highway,"Great Western Highway, North of Caroline Avenue",Great Western Highway,North of Caroline Avenue,Great Western,Highway,Caroline Avenue,100,0000005,1611,A,32,A32,Primary Road,OnGround,TwoOrMoreLanes,Highway,State,Western,Lithgow,Bowenfels,2790,Trafficorder Tube Axlepair Counter,false,0,0,9591209,4470119.5,-33.480206,150.136597,9,5,true,2022d90b188cb7619c2f7b47712b1ef7,2018-06-12 02:48:41.978017+00
,6290,,,55494,04141,Pacific Highway,Pacific Highway,"Pacific Highway, North of North Bank Road",Pacific Highway,North of North Bank Road,Pacific,Highway,North Bank Road,470,0000010,2462,A,1,A1,Primary Road,OnGround,TwoOrMoreLanes,Highway,State,Northern,Bellingen,Raleigh,2454,Trafficorder Tube Axlepair Counter,false,0,0,9876613,4793895.5,-30.448483,153.005157,1,5,true,0433cdb3d0b3055f2d6cba4ec656fa85,2018-06-12 02:48:41.978017+00
,6291,,,55432,03022,Cleveland Street,Cleveland Street,"Cleveland Street, West of Anzac Parade","Cleveland.cleveland St, Moore Park",West of Anzac Parade,Cleveland,Street,Anzac Parade,60,0000330,0010,NULL,NULL,NULL,Arterial Road,OnGround,TwoOrMoreLanes,Street,State,Sydney,Sydney,Moore Park,2021,Trafficorder Loop Counter,false,1,0,9689962,4420670.5,-33.894791,151.220764,10,4,true,f7cd0063ea157091536dafc48e7b9cfb,2018-06-12 02:48:41.978017+00
,6292,,,58532,97042,Cobb Highway,Cobb Highway,"Cobb Highway, South of Ochtertyre Street",Cobb Highway,South of Ochtertyre Street,Cobb,Highway,Ochtertyre Street,420,0000021,0077,B,75,B75,Primary Road,OnGround,TwoOrMoreLanes,Highway,Local,South West,Deniliquin,Deniliquin,2710,Trafficorder Tube Axlepair Counter,false,0,1,9114816,4242832,-35.553543,144.957153,9,5,true,7487104ed8743ba462e20632261978b4,2018-06-12 02:48:41.978017+00
,6293,,,56381,07754,Lawrence Hargrave Drive,Lawrence Hargrave Drive,"Lawrence Hargrave Drive, East of Clifton School Parade",Lawrence Hargrave Drive,East of Clifton School Parade,Lawrence Hargrave,Drive,Clifton School Parade,100,0000185,0070,NULL,NULL,NULL,Arterial Road,OnGround,TwoOrMoreLanes,Drive,State,Southern,Wollongong,Clifton,2515,Trafficorder Tube Axlepair Counter,false,0,0,9665289,4381237,-34.259045,150.9702,9,5,true,da1c509e2cb81d7710f575ebb6bd7cea,2018-06-12 02:48:41.978017+00
,6294,,,58158,94494,Auburn Street,Auburn Street,"Auburn Street, West of Russell Street",Auburn Street,West of Russell Street,Auburn,Street,Russell Street,30,0000676,0040,NULL,NULL,NULL,Local Road,OnGround,TwoOrMoreLanes,Street,State,Southern,Goulburn Mulwaree,Goulburn,2580,Trafficorder Tube Axlepair Counter,false,0,0,9548748,4330044.5,-34.754276,149.718719,9,5,true,11da480cc8c168b26e85ca4a6073f84e,2018-06-12 02:48:41.978017+00
,6295,,,56320,07407,Old Hume Highway,Old Hume Highway,"Old Hume Highway, West of Boxvale Road",Old Hume Highway,West of Boxvale Road,Old Hume,Highway,Boxvale Road,10,0000258,0008,NULL,NULL,NULL,Arterial Road,OnGround,TwoOrMoreLanes,Highway,Regional,Southern,Wingecarribee,Woodlands,2575,Trafficorder Tube Axlepair Counter,false,0,1,9613296,4363086.5,-34.439266,150.411972,10,5,true,27d7c2a69c5b9f2eb532030bb92241ab,2018-06-12 02:48:41.978017+00
